video_id,author,comment,likes,published_at
JwAfHEHQKto,@laurynharrell8529,WTH is the “back tap” feature?✨👀✨,0,2024-11-21T07:31:56Z
JwAfHEHQKto,@paulb2407,iPhone 15promax. after 6months usage I wish I stayed with android. Other than face id security this phone was clearly not tested for functionality and layout,0,2024-11-14T20:29:32Z
JwAfHEHQKto,@SegersBo,It's so funny watching this after the release of the Iphone 16 with you using the action button for camera and the 16 has the camera control button,1,2024-11-14T13:03:09Z
JwAfHEHQKto,@Miles_Morales_Dude,6:50 that flip was insane,1,2024-11-10T15:29:18Z
JwAfHEHQKto,@yukishiroenishi8564,You're missing out if your'e playing a AAA game on a phone. 😢,0,2024-11-05T14:49:19Z
JwAfHEHQKto,@Chicken853,8:49  are you in Indy? Mass ave in Indianapolis have those light signs,0,2024-11-05T12:23:31Z
JwAfHEHQKto,@Klitrio7,foreshadowing the capture button on the 16’s,5,2024-11-01T01:05:58Z
JwAfHEHQKto,@Heiskixsalem,"Oct 31; Should I buy the iPhone 15 pro max, 8/256GB for gaming and recording or streaming on TikTok (when not recording) or the IPad Pro 6th gen, 16GB, 2TB?

Other notes; I play call of duty mobile daily, I’m very good so I’m now limited by my little s9 (lags a lot) so I’m planing on upgrading this weekend, I’ve saved up, so I’m wondering which to go for.

My potential concerns are 1, I need the iPhone camera and I know it’s capable of playing codm very efficiently but will it be able to hold up for 2- 3 without lagging, unnecessary battery drain and issues? I don’t know if the iPad can holllll uppp either too, that’s why jm asking the world chat, what should I go for?",0,2024-10-31T03:53:41Z
JwAfHEHQKto,@Heiskixsalem,"Oct 31; Should I buy the iPhone 15 pro max, 8/256GB for gaming and recording or streaming on TikTok (when not recording) or the IPad Pro 6th gen, 16GB, 2TB?

Other notes; I play call of duty mobile daily, I’m very good so I’m now limited by my little s9 (lags a lot) so I’m planing on upgrading this weekend, I’ve saved up, so I’m wondering which to go for.

My potential concerns are 1, I need the iPhone camera and I know it’s capable of playing codm very efficiently but will it be able to hold up for 2- 3 without lagging, unnecessary battery drain and issues? I don’t know if the iPad can holllll uppp either too, that’s why jm asking the world chat, what should I go for?",0,2024-10-31T03:53:41Z
JwAfHEHQKto,@JXHN93,"From ip13 pm to ip15 pm, and yes i choose this not the 16 fresh from the box days old phone. Smooth and fast, what an upgrade.",0,2024-10-25T07:21:25Z
